preprocessing_mode,chunking_strategy,overlap_size,fixed_length,vocab_top_n,vectorizer,query,avg_similarity,mistral_response_len
none,sentence,2,,50,,What are the key themes discussed?,0.0,2179
none,sentence,2,,50,bow,What are the key themes discussed?,0.0,1672
none,sentence,2,,50,tfidf,What are the key themes discussed?,0.0,602
none,sentence,2,,30,,What are the key themes discussed?,0.0,1431
none,sentence,2,,30,bow,What are the key themes discussed?,0.0,1256
none,sentence,2,,30,tfidf,What are the key themes discussed?,0.0,1458
none,sentence,2,,10,,What are the key themes discussed?,0.0,1836
none,sentence,2,,10,bow,What are the key themes discussed?,0.0,1866
none,sentence,2,,10,tfidf,What are the key themes discussed?,0.0,1525
none,sentence,4,,50,,What are the key themes discussed?,0.0,2111
none,sentence,4,,50,bow,What are the key themes discussed?,0.0,1947
none,sentence,4,,50,tfidf,What are the key themes discussed?,0.0,1231
none,sentence,4,,30,,What are the key themes discussed?,0.0,671
none,sentence,4,,30,bow,What are the key themes discussed?,0.0,1507
none,sentence,4,,30,tfidf,What are the key themes discussed?,0.0,1772
none,sentence,4,,10,,What are the key themes discussed?,0.0,1466
none,sentence,4,,10,bow,What are the key themes discussed?,0.0,1555
none,sentence,4,,10,tfidf,What are the key themes discussed?,0.0,918
none,fixed-length,1,50.0,50,,What are the key themes discussed?,0.0,2331
none,fixed-length,1,50.0,50,bow,What are the key themes discussed?,0.0,2096
none,fixed-length,1,50.0,50,tfidf,What are the key themes discussed?,0.0,1271
none,fixed-length,1,50.0,30,,What are the key themes discussed?,0.0,1075
none,fixed-length,1,50.0,30,bow,What are the key themes discussed?,0.0,1523
none,fixed-length,1,50.0,30,tfidf,What are the key themes discussed?,0.0,1122
none,fixed-length,1,50.0,10,,What are the key themes discussed?,0.0,1873
none,fixed-length,1,50.0,10,bow,What are the key themes discussed?,0.0,1014
none,fixed-length,1,50.0,10,tfidf,What are the key themes discussed?,0.0,861
none,fixed-length,1,100.0,50,,What are the key themes discussed?,0.0,1424
none,fixed-length,1,100.0,50,bow,What are the key themes discussed?,0.0,633
none,fixed-length,1,100.0,50,tfidf,What are the key themes discussed?,0.0,695
none,fixed-length,1,100.0,30,,What are the key themes discussed?,0.0,1214
none,fixed-length,1,100.0,30,bow,What are the key themes discussed?,0.0,493
none,fixed-length,1,100.0,30,tfidf,What are the key themes discussed?,0.0,837
none,fixed-length,1,100.0,10,,What are the key themes discussed?,0.0,533
none,fixed-length,1,100.0,10,bow,What are the key themes discussed?,0.0,1482
none,fixed-length,1,100.0,10,tfidf,What are the key themes discussed?,0.0,1082
none,fixed-length,1,150.0,50,,What are the key themes discussed?,0.0,1318
none,fixed-length,1,150.0,50,bow,What are the key themes discussed?,0.0,2066
none,fixed-length,1,150.0,50,tfidf,What are the key themes discussed?,0.0,1795
none,fixed-length,1,150.0,30,,What are the key themes discussed?,0.0,521
none,fixed-length,1,150.0,30,bow,What are the key themes discussed?,0.0,1167
none,fixed-length,1,150.0,30,tfidf,What are the key themes discussed?,0.0,1043
none,fixed-length,1,150.0,10,,What are the key themes discussed?,0.0,1051
none,fixed-length,1,150.0,10,bow,What are the key themes discussed?,0.0,802
none,fixed-length,1,150.0,10,tfidf,What are the key themes discussed?,0.0,1163
stem,sentence,2,,50,,What are the key themes discussed?,0.0,1986
stem,sentence,2,,50,bow,What are the key themes discussed?,0.0,647
stem,sentence,2,,50,tfidf,What are the key themes discussed?,0.0,1298
stem,sentence,2,,30,,What are the key themes discussed?,0.0,2329
stem,sentence,2,,30,bow,What are the key themes discussed?,0.0,1337
stem,sentence,2,,30,tfidf,What are the key themes discussed?,0.0,1716
stem,sentence,2,,10,,What are the key themes discussed?,0.0,668
stem,sentence,2,,10,bow,What are the key themes discussed?,0.0,2142
stem,sentence,2,,10,tfidf,What are the key themes discussed?,0.0,1090
stem,sentence,4,,50,,What are the key themes discussed?,0.0,1821
stem,sentence,4,,50,bow,What are the key themes discussed?,0.0,1044
stem,sentence,4,,50,tfidf,What are the key themes discussed?,0.0,1356
stem,sentence,4,,30,,What are the key themes discussed?,0.0,2012
stem,sentence,4,,30,bow,What are the key themes discussed?,0.0,1024
